task_id,task_description,task_completed
1,Prepare for order 1,TRUE
2,Prepare for order 2,FALSE
3,Prepare for order 3,TRUE
4,Prepare for order 4,FALSE
5,Prepare for order 5,TRUE
6,Prepare for order 6,FALSE
7,Prepare for order 7,TRUE
8,Prepare for order 8,FALSE
9,Prepare for order 9,TRUE
10,Prepare for order 10,FALSE
11,Prepare for order 11,TRUE
12,Prepare for order 12,FALSE
13,Prepare for order 13,TRUE
14,Prepare for order 14,FALSE
15,Prepare for order 15,TRUE
16,Prepare for order 16,FALSE
17,Prepare for order 17,TRUE
18,Prepare for order 18,FALSE
19,Prepare for order 19,TRUE
20,Prepare for order 20,FALSE
